Slice,Count,Total Area,Average Size,%Area,Mean
Mei5 3-1_3hr-1,23,0.415,0.018,0.111,255
Dmc1 3-1_3hr-1,18,0.320,0.018,0.086,255
Mei5 3-1_3hr-2,69,0.989,0.014,0.264,255
Dmc1 3-1_3hr-2,27,0.462,0.017,0.123,255
Mei5 3-1_4hr-1,89,0.939,0.011,0.493,255
Dmc1 3-1_4hr-1,40,0.440,0.011,0.231,255
Mei5 3-1_4hr-2,137,2.113,0.015,1.137,255
Dmc1 3-1_4hr-2,25,0.413,0.017,0.222,255
Mei5 3-1_5hr-1,64,0.823,0.013,0.432,255
Dmc1 3-1_5hr-1,39,0.882,0.023,0.463,255
Mei5 3-1_5hr-2,95,1.589,0.017,0.835,255
Dmc1 3-1_5hr-2,67,1.601,0.024,0.841,255
